Quarter,Value,Year
Q2,14.888,2024
Q1,12.280,2024
Q4,9.243,2023
Q3,6.188,2023
Q2,2.043,2023
Q1,1.414,2023
Q4,0.680,2022
Q3,0.656,2022
Q2,1.618,2022
Q1,3.003,2022
Q4,2.464,2021
Q3,2.374,2021
Q2,1.912,2021
Q1,1.457,2021
Q4,1.336,2020
Q3,0.622,2020
Q2,0.917,2020
Q1,0.951,2020
Q4,0.899,2019
Q3,0.552,2019
Q2,0.394,2019
Q1,0.566,2019
Q4,1.230,2018
Q3,1.101,2018
Q2,1.244,2018
Q1,1.119,2018
Q4,0.838,2017
Q3,0.583,2017
Q2,0.507,2017
Q1,0.654,2017
Q4,0.542,2016
Q3,0.261,2016
Q2,0.208,2016
Q1,0.208,2016
Q4,0.246,2015
Q3,0.026,2015
Q2,0.134,2015
Q1,0.194,2015
Q4,0.173,2014
Q3,0.128,2014
Q2,0.137,2014
Q1,0.14693,2014
Q4,0.11873,2013
Q3,0.09645,2013
Q2,0.07789,2013
Q1,0.17397,2013
Q4,0.20908,2012
Q3,0.11905,2012
Q2,0.06044,2012
Q1,0.11602,2012
Q4,0.17827,2011
Q3,0.15157,2011
Q2,0.13522,2011
Q1,0.17165,2011
Q4,0.08486,2010
Q3,-0.14096,2010
Q2,0.13759,2010
Q1,0.13108,2010
Q4,0.10758,2009
Q3,-0.10530,2009
Q2,-0.20134,2009
Q1,-0.14766,2009
Q4,0.06175,2008
Q3,-0.12093,2008
Q2,0.17680,2008
Q1,0.25699,2008
Q4,0.23566,2007
Q3,0.17273,2007
Q2,0.13226,2007
Q1,0.16351,2007
Q4,0.10651,2006
Q3,0.08675,2006
Q2,0.09068,2006
Q1,0.09737,2006
Q4,0.06445,2005
Q3,0.07383,2005
Q2,0.06444,2005
Q1,0.03627,2005
Q4,0.02588,2004
Q3,0.00512,2004
Q2,0.02135,2004
Q1,0.02417,2004
Q4,0.00636,2003
Q3,0.02415,2003
Q2,0.01975,2003
Q1,0.05094,2003
Q4,-0.04864,2002
Q3,0.00525,2002
Q2,0.08324,2002
Q1,0.07603,2002
Q4,0.04132,2001
Q3,0.03293,2001
Q2,0.02665,2001
Q1,0.02959,2001
Q4,0.02807,2000
Q3,0.02252,2000
Q2,0.01829,2000
Q1,0.01746,2000
Q4,0.01060,1999
Q3,0.00670,1999
